Time[s],UWB_Simple::Anchor1UwbTx::Index_1,UWB_Simple::Anchor1UwbTx::Dis_1,UWB_Simple::Anchor2UwbTx::Index_2,UWB_Simple::Anchor2UwbTx::Dis_2,UWB_Simple::Anchor3UwbTx::Index_3,UWB_Simple::Anchor3UwbTx::Dis_3,UWB_Simple::Anchor4UwbTx::Index_4,UWB_Simple::Anchor4UwbTx::Dis_4,UWB_Simple::Anchor5UwbTx::Index_5,UWB_Simple::Anchor5UwbTx::Dis_5,UWB_Simple::CarSts::Carsts_Y,UWB_Simple::CarSts::Carsts_X,UWB_Simple::CarSts::Carsts_TestSts,UWB_Simple::CarSts::Carsts_RobotTaskID,UWB_Simple::CarSts::Carsts_RobotInMotion,UWB_Simple::CarSts::Carsts_Robot_Z,UWB_Simple::CarSts::Carsts_Robot_Y,UWB_Simple::CarSts::Carsts_Robot_X,UWB_Simple::CarSts::Carsts_RealTi,UWB_Simple::CarSts::CarSts_CarTaskID,UWB_Simple::CarSts::Carsts_CarInMotion,UWB_Simple::CarSts::Carsts_Angle
4.866896,,,,,,,63672,372,,,,,,,,,,,,,,
4.868852,63672,461,,,,,,,,,,,,,,,,,,,,
4.870798,,,,,63672,192,,,,,,,,,,,,,,,,
4.904141,,,,,,,,,,,1159,67,0,0,0,560,-3,37,638682351700000000,-1,1,179000
4.959627,63720,460,,,,,,,,,,,,,,,,,,,,
4.960516,,,,,,,63720,400,,,,,,,,,,,,,,
4.961301,,,,,63720,194,,,,,,,,,,,,,,,,
4.965613,,,63720,325,,,,,,,,,,,,,,,,,,
4.966832,,,,,,,,,63720,242,,,,,,,,,,,,
5.056798,,,63768,324,,,,,,,,,,,,,,,,,,
5.059632,,,,,,,63768,435,,,,,,,,,,,,,,
5.059743,,,,,,,,,63768,241,,,,,,,,,,,,
5.061172,63768,457,,,,,,,,,,,,,,,,,,,,
5.062389,,,,,63768,198,,,,,,,,,,,,,,,,
5.081152,,,,,,,,,,,1216,69,0,0,0,560,-3,37,638682351700000000,-1,1,179000
5.151598,,,,,,,63816,423,,,,,,,,,,,,,,
5.153085,,,,,63816,201,,,,,,,,,,,,,,,,
5.153346,63816,449,,,,,,,,,,,,,,,,,,,,
5.158421,,,63816,313,,,,,,,,,,,,,,,,,,
5.160619,,,,,,,,,63816,239,,,,,,,,,,,,
5.211157,,,,,,,,,,,1262,72,0,0,0,560,-3,37,638682351710000000,-1,1,179000
5.249237,,,63864,311,,,,,,,,,,,,,,,,,,
5.251084,,,,,,,,,63864,246,,,,,,,,,,,,
5.251197,,,,,,,63864,393,,,,,,,,,,,,,,
5.253284,63864,449,,,,,,,,,,,,,,,,,,,,
5.254503,,,,,63864,203,,,,,,,,,,,,,,,,
5.343598,,,,,,,63912,398,,,,,,,,,,,,,,
5.344824,63912,456,,,,,,,,,,,,,,,,,,,,
5.346045,,,,,63912,210,,,,,,,,,,,,,,,,
5.350522,,,63912,310,,,,,,,,,,,,,,,,,,
5.351745,,,,,,,,,63912,246,,,,,,,,,,,,
